urdu,roman-urdu
بری چال,burii-chaal
ٹوٹ ٹوٹ کر,tuut tuut kar
مرسلین,mursaleenmessengers
ریبا,riiba
بدلتے,badalte
ٹوتھڈ,toothed
روس,roos
ماجوج,majooj
گزرتا,vaqt guzartaa jaanaa
نخت,nakhat
گہنہ,gahna
چلبلا,chulbulaa
مکان داری,makaan-daarii
دل کا بادشاہ,dil kaa baadshaah
اطواری,atwaari
مشیت,Mashiyyat
بھیجے,bheje
آواز,awaz
بلقیس,bilqiis
کیتو,ketuu
صالحہ,Saalihah
پرچھائی,parchhaaii
رشحات,Rashhat
توشہ عاقبت,tosha-e-'aaqibat
کیا,aap
سخاوت,Sakhawat
کیلی فورنیا,california
کوٹ,cot
فتحہ,fatha
لگتاہے,lagtaa hai
چلپچی,chilapchii
پکروانا,pukarvaanaa
نحسی,nahsii
ترسیمی کاغذ,tarsiimii-kaagaz
ترے,tery
تیرے,parvardigaar
غدوسی,Ghodsi
چھنتی,chhanti
مغایر,mugaayir
رکھو,rakkho
اللہ,shaqs
کامیابی,kaamyaabi
ٹرنر,turner
بداح,badaah
پریشانی,pareshani
میسیاس,mesias
کرنا,mushaqqat karna
جلید,jaliid
رکنا,rukna (
رسمیں,rasmen
جھاڑ,jhaar
ہربونگ,har-bong
گھڑی خلاف معیار,ghadii khilaaf-e-me'yaar
چونسٹھ کھمبا,chaunsath-khambaa
قرضہ,qarza
لگژری,luxury
ملوق,milvaq
منگل گیت,mangal-giit
آنچ کی کسر,aanch kii kasar
نے,hatho
ملالت,malaalat
منائے,mnaye
تماخرہ,tamaakhara
حداق,Haddaq
پہنچائے,pahunchaaye
ملکہ دوراں,malika-e-dauraan
لین,lein
ٹکرا,takra
سفاہت,safaahat
لقلق,laq-laq
ابنائے دنیا,abnaa-e-duniyaa
مقامی خبریں,maqaamii-khabren
نیکی,nekii
میچھنا,miichhnaa
منزلت والا,manzilat vaalaa
دھرم گورو,Dharamgoro
توریہ,tauriya
کر,reh
شیراز,Sheeraaz
بزم شہود,bazm-e-shuhuud
دنیوی,is
ایمانداری,iimaandaarii
بندہ,bnda
عاقبت نا,ndyshaaqibat naa andeysh
دل باز,Dil Baz
نمایاں,numaayaan
کنز,Kanz
عسیر,asiir
كتاب,kitabut
sense,sense
حازیہ,Haaziyah
کہ,wajah
پردہ عنکبوت,parda-e-'ankabuut
لٹکنیا,latkaniyaa
لوں,lo
نازک لہر,naazuk-lahr
دناقل,danaaqil
مہرہ بازی,mohra-baazii
اجمل,ajmal
کثیر الاعوان,kasiir-ul-aa'vaan
طنزانہ,tanzan aanah
گلبی,gulaabi
چوسار,chausaar
تضلیل,tazliil
چٹکا بھر,chutkaa bhar
ٹیوب ٹرین,tube-train
گيل,gul
نفاخ,naffaakh
چینائی,chinayi
گلگت,gilgit
مہان,mahaan
عملیلہ,Amalillah
بات بے بات,baat-be-baat
اور,anjaam
بریکر,breaker
زمین سا,zamiin saa
آس,aas
عناد,enmity
جانبداری,jaanib-daarii
بڑ بڑ,bad-buderii
ٹکلچا,takalchaa
عملیہ,amaliyya
منوع,manuu'
یوان,yavaanii
چبنا,chabnaa
جوان,jo un
جہتوں,jihaton
ملپ,meyl milaap
پھوس کا پولا,phuus kaa puulaa
گرداب,girdaab
بہن,behan
رعب و داب,ro'b-o-daab
بندھی ٹکی,bandhii-takii
مصحف پاک,mushaf-e-paak
عظمت رفتہ,azmat-e-rafta
جامع الفاظ,jaame'-alfaaz
صوبہ جات,suuba-jaat
نفوذ پذیری,nufuuz-paziirii
چکریلا,chakrelaa
فرفراہٹ,farfaraahat
آپ,ta
فلہ,fala
شرمایا,sharmaya
گل عذرا,Gul E Azra
نیلوفر,Nilofar
باد بروت,baad-e-buruut
نظر,aatey
تخلیط,takhliit
گرمئ,garmi
پاہان,paahaan
گرد,grd
مریح,mariih
انہوں,inhon
ٹی,tee
سینے,seyney
غیب الغیب,gaib-ul-gaib
عجلت بازی,khrnujlat baazi karna
منحصر,munhasir
چشتی,chishtii
نوشیں,noshiin
سادہ نگاری,saada-nigaarii
بیٹوں,baiton
مسئلے مسائل,masale-masaail
کہنے,kahne
ناتا رشتہ,naata-rishta
مستضی,mustazii
گهڑ,ghar
زرآتشدان,zar-e-aatashdaan
جتھا بند,jattha-bandii
ٹگھلانا,taghlaanaa
دو وقتی,do-vaqtii
تند روی,tund-ravii
نقشبندیہ,naqshbandiya
یحزی,yakhri
فکر خیزی,fikr-khezii
خط ہیلیم,khat-e-heliyam
رافتہ,Raafatah
جگاد,jagaad
اوصاف,ausaf
قینچی,qainchii
حریز,Hareez
دست آشنا,dast-aashnaa
چھبیلی,chhabiilii
عوامی,awami
آسرا,Aasraa
کپکپانا,kapkapaanaa
لکشمی,luxmi
حضرت,de
گلسرا,gulsaraa
اوہائیو,ohaiyu
پاکستانی,main paakistaanii huun
چروٹا,charautaa
زیب,zeyb
دورانیہ,daurania
زدہ,zada
منوانے,manwaane
تقدیر,taqdiir
جوہری بم,jauharii-bam
ثائب,saaib
بھنگنی,bhangnii
ڈپو,depo
فاسخ,faasikh
مڑا,muraa
مرادونتی,muraad-vantii
سہادیو,sahadew
دکان,dukan
سالانہ گردش,saalaana-gardish
ہمارے,ye
استبدادی,istebdaadi
نیک نام,Naik Naam
سینٹر,center
عذوبت,uzuubat
ٹھانٹھا,thaanthaa
تابوتی,taabuutii
سے,saathi
یکا,yaka
دوئی پسند,duuii-pasand
علم المناظر,ilm-ul-manaazir
نسلا,naslan
چھپائیں,chhupaen
پدیدار,padiidaar
اصابت,Isaabat
سیاسی غلامی,siyaasii-gulaamii
خون کا جوش,khuun kaa josh
مبالغہ,mubaligha
سقا,saqa
چیٹ,chat
